	identifier	speaker	split	label	file
144	4_nicolas_37	nicolas	TRAIN	4	speech_data/4_nicolas_37.wav
145	8_george_38	george	TRAIN	8	speech_data/8_george_38.wav
146	1_theo_23	theo	TRAIN	1	speech_data/1_theo_23.wav
147	8_nicolas_11	nicolas	TRAIN	8	speech_data/8_nicolas_11.wav
148	8_lucas_39	lucas	DEV	8	speech_data/8_lucas_39.wav
149	7_nicolas_15	nicolas	TRAIN	7	speech_data/7_nicolas_15.wav
150	2_nicolas_29	nicolas	TRAIN	2	speech_data/2_nicolas_29.wav
151	4_lucas_45	lucas	DEV	4	speech_data/4_lucas_45.wav
152	3_lucas_8	lucas	DEV	3	speech_data/3_lucas_8.wav
153	2_lucas_7	lucas	DEV	2	speech_data/2_lucas_7.wav
154	6_lucas_19	lucas	TEST	6	speech_data/6_lucas_19.wav
155	2_nicolas_9	nicolas	TRAIN	2	speech_data/2_nicolas_9.wav
156	7_lucas_16	lucas	DEV	7	speech_data/7_lucas_16.wav
157	5_theo_7	theo	TRAIN	5	speech_data/5_theo_7.wav
158	0_george_17	george	TRAIN	0	speech_data/0_george_17.wav
159	9_yweweler_42	yweweler	DEV	9	speech_data/9_yweweler_42.wav
160	6_nicolas_4	nicolas	TRAIN	6	speech_data/6_nicolas_4.wav
161	0_yweweler_18	yweweler	TEST	0	speech_data/0_yweweler_18.wav
162	2_theo_26	theo	TRAIN	2	speech_data/2_theo_26.wav
163	6_george_24	george	TRAIN	6	speech_data/6_george_24.wav
164	6_george_21	george	TRAIN	6	speech_data/6_george_21.wav
165	5_george_43	george	TRAIN	5	speech_data/5_george_43.wav
166	9_jackson_37	jackson	TRAIN	9	speech_data/9_jackson_37.wav
167	0_jackson_27	jackson	TRAIN	0	speech_data/0_jackson_27.wav
168	8_theo_41	theo	TRAIN	8	speech_data/8_theo_41.wav
169	4_george_44	george	TRAIN	4	speech_data/4_george_44.wav
170	1_george_44	george	TRAIN	1	speech_data/1_george_44.wav
171	2_yweweler_31	yweweler	DEV	2	speech_data/2_yweweler_31.wav
172	2_lucas_47	lucas	TEST	2	speech_data/2_lucas_47.wav
173	6_lucas_11	lucas	TEST	6	speech_data/6_lucas_11.wav
174	4_theo_47	theo	TRAIN	4	speech_data/4_theo_47.wav
175	0_george_36	george	TRAIN	0	speech_data/0_george_36.wav
176	1_theo_44	theo	TRAIN	1	speech_data/1_theo_44.wav
177	0_george_25	george	TRAIN	0	speech_data/0_george_25.wav
178	5_theo_29	theo	TRAIN	5	speech_data/5_theo_29.wav
179	8_nicolas_12	nicolas	TRAIN	8	speech_data/8_nicolas_12.wav
180	2_lucas_10	lucas	TEST	2	speech_data/2_lucas_10.wav
181	4_nicolas_20	nicolas	TRAIN	4	speech_data/4_nicolas_20.wav
182	8_jackson_14	jackson	TRAIN	8	speech_data/8_jackson_14.wav
183	4_theo_30	theo	TRAIN	4	speech_data/4_theo_30.wav
184	1_jackson_4	jackson	TRAIN	1	speech_data/1_jackson_4.wav
185	1_lucas_38	lucas	DEV	1	speech_data/1_lucas_38.wav
186	3_george_29	george	TRAIN	3	speech_data/3_george_29.wav
187	9_nicolas_30	nicolas	TRAIN	9	speech_data/9_nicolas_30.wav
188	1_lucas_29	lucas	DEV	1	speech_data/1_lucas_29.wav
189	4_yweweler_4	yweweler	DEV	4	speech_data/4_yweweler_4.wav
190	5_lucas_1	lucas	DEV	5	speech_data/5_lucas_1.wav
191	1_theo_11	theo	TRAIN	1	speech_data/1_theo_11.wav
192	5_nicolas_0	nicolas	TRAIN	5	speech_data/5_nicolas_0.wav
193	7_jackson_17	jackson	TRAIN	7	speech_data/7_jackson_17.wav
194	8_yweweler_33	yweweler	DEV	8	speech_data/8_yweweler_33.wav
195	4_nicolas_46	nicolas	TRAIN	4	speech_data/4_nicolas_46.wav
196	7_jackson_13	jackson	TRAIN	7	speech_data/7_jackson_13.wav
197	0_jackson_20	jackson	TRAIN	0	speech_data/0_jackson_20.wav
198	2_lucas_43	lucas	DEV	2	speech_data/2_lucas_43.wav
199	7_jackson_1	jackson	TRAIN	7	speech_data/7_jackson_1.wav
200	1_nicolas_13	nicolas	TRAIN	1	speech_data/1_nicolas_13.wav
201	2_nicolas_6	nicolas	TRAIN	2	speech_data/2_nicolas_6.wav
202	4_lucas_30	lucas	DEV	4	speech_data/4_lucas_30.wav
203	2_theo_6	theo	TRAIN	2	speech_data/2_theo_6.wav
204	0_lucas_15	lucas	TEST	0	speech_data/0_lucas_15.wav
205	6_yweweler_5	yweweler	DEV	6	speech_data/6_yweweler_5.wav
206	1_nicolas_19	nicolas	TRAIN	1	speech_data/1_nicolas_19.wav
207	6_lucas_9	lucas	TEST	6	speech_data/6_lucas_9.wav
208	4_nicolas_5	nicolas	TRAIN	4	speech_data/4_nicolas_5.wav
209	1_nicolas_46	nicolas	TRAIN	1	speech_data/1_nicolas_46.wav
210	2_nicolas_42	nicolas	TRAIN	2	speech_data/2_nicolas_42.wav
211	7_george_17	george	TRAIN	7	speech_data/7_george_17.wav
212	4_jackson_33	jackson	TRAIN	4	speech_data/4_jackson_33.wav
213	3_theo_31	theo	TRAIN	3	speech_data/3_theo_31.wav
214	7_george_9	george	TRAIN	7	speech_data/7_george_9.wav
215	8_jackson_36	jackson	TRAIN	8	speech_data/8_jackson_36.wav
216	2_lucas_35	lucas	TEST	2	speech_data/2_lucas_35.wav
217	1_yweweler_43	yweweler	TEST	1	speech_data/1_yweweler_43.wav
218	9_theo_0	theo	TRAIN	9	speech_data/9_theo_0.wav
219	4_theo_12	theo	TRAIN	4	speech_data/4_theo_12.wav
220	0_lucas_33	lucas	DEV	0	speech_data/0_lucas_33.wav
221	9_yweweler_13	yweweler	DEV	9	speech_data/9_yweweler_13.wav
222	3_lucas_6	lucas	TEST	3	speech_data/3_lucas_6.wav
223	3_yweweler_2	yweweler	TEST	3	speech_data/3_yweweler_2.wav
224	0_yweweler_5	yweweler	TEST	0	speech_data/0_yweweler_5.wav
225	0_george_24	george	TRAIN	0	speech_data/0_george_24.wav
226	0_jackson_33	jackson	TRAIN	0	speech_data/0_jackson_33.wav
227	8_george_37	george	TRAIN	8	speech_data/8_george_37.wav
228	4_george_43	george	TRAIN	4	speech_data/4_george_43.wav
229	6_yweweler_10	yweweler	DEV	6	speech_data/6_yweweler_10.wav
230	8_lucas_26	lucas	DEV	8	speech_data/8_lucas_26.wav
231	3_yweweler_1	yweweler	DEV	3	speech_data/3_yweweler_1.wav
232	8_lucas_29	lucas	DEV	8	speech_data/8_lucas_29.wav
233	7_nicolas_21	nicolas	TRAIN	7	speech_data/7_nicolas_21.wav
234	2_theo_12	theo	TRAIN	2	speech_data/2_theo_12.wav
235	2_yweweler_37	yweweler	TEST	2	speech_data/2_yweweler_37.wav
236	2_lucas_24	lucas	TEST	2	speech_data/2_lucas_24.wav
237	6_theo_3	theo	TRAIN	6	speech_data/6_theo_3.wav
238	3_jackson_14	jackson	TRAIN	3	speech_data/3_jackson_14.wav
239	4_jackson_10	jackson	TRAIN	4	speech_data/4_jackson_10.wav
240	2_yweweler_18	yweweler	TEST	2	speech_data/2_yweweler_18.wav
241	4_nicolas_15	nicolas	TRAIN	4	speech_data/4_nicolas_15.wav
242	4_theo_41	theo	TRAIN	4	speech_data/4_theo_41.wav
243	2_yweweler_40	yweweler	TEST	2	speech_data/2_yweweler_40.wav
244	6_theo_22	theo	TRAIN	6	speech_data/6_theo_22.wav
245	5_george_36	george	TRAIN	5	speech_data/5_george_36.wav
246	9_yweweler_47	yweweler	DEV	9	speech_data/9_yweweler_47.wav
247	9_lucas_26	lucas	DEV	9	speech_data/9_lucas_26.wav
248	3_nicolas_4	nicolas	TRAIN	3	speech_data/3_nicolas_4.wav
249	6_george_32	george	TRAIN	6	speech_data/6_george_32.wav
250	3_yweweler_35	yweweler	DEV	3	speech_data/3_yweweler_35.wav
251	0_theo_35	theo	TRAIN	0	speech_data/0_theo_35.wav
252	9_george_10	george	TRAIN	9	speech_data/9_george_10.wav
253	5_jackson_27	jackson	TRAIN	5	speech_data/5_jackson_27.wav
254	9_yweweler_45	yweweler	TEST	9	speech_data/9_yweweler_45.wav
255	6_jackson_33	jackson	TRAIN	6	speech_data/6_jackson_33.wav
256	2_theo_38	theo	TRAIN	2	speech_data/2_theo_38.wav
257	9_nicolas_25	nicolas	TRAIN	9	speech_data/9_nicolas_25.wav
258	7_nicolas_35	nicolas	TRAIN	7	speech_data/7_nicolas_35.wav
259	6_nicolas_34	nicolas	TRAIN	6	speech_data/6_nicolas_34.wav
260	8_theo_32	theo	TRAIN	8	speech_data/8_theo_32.wav
261	2_george_13	george	TRAIN	2	speech_data/2_george_13.wav
262	0_jackson_30	jackson	TRAIN	0	speech_data/0_jackson_30.wav
263	5_george_45	george	TRAIN	5	speech_data/5_george_45.wav
264	9_nicolas_29	nicolas	TRAIN	9	speech_data/9_nicolas_29.wav
265	8_yweweler_5	yweweler	DEV	8	speech_data/8_yweweler_5.wav
266	2_jackson_37	jackson	TRAIN	2	speech_data/2_jackson_37.wav
267	9_george_14	george	TRAIN	9	speech_data/9_george_14.wav
268	5_nicolas_40	nicolas	TRAIN	5	speech_data/5_nicolas_40.wav
269	9_jackson_39	jackson	TRAIN	9	speech_data/9_jackson_39.wav
270	3_theo_13	theo	TRAIN	3	speech_data/3_theo_13.wav
271	5_jackson_4	jackson	TRAIN	5	speech_data/5_jackson_4.wav
272	4_theo_38	theo	TRAIN	4	speech_data/4_theo_38.wav
273	6_yweweler_45	yweweler	DEV	6	speech_data/6_yweweler_45.wav
274	4_theo_14	theo	TRAIN	4	speech_data/4_theo_14.wav
275	9_yweweler_18	yweweler	TEST	9	speech_data/9_yweweler_18.wav
276	4_nicolas_3	nicolas	TRAIN	4	speech_data/4_nicolas_3.wav
277	2_lucas_48	lucas	TEST	2	speech_data/2_lucas_48.wav
278	9_jackson_7	jackson	TRAIN	9	speech_data/9_jackson_7.wav
279	4_nicolas_39	nicolas	TRAIN	4	speech_data/4_nicolas_39.wav
280	0_lucas_30	lucas	TEST	0	speech_data/0_lucas_30.wav
281	6_jackson_41	jackson	TRAIN	6	speech_data/6_jackson_41.wav
282	5_nicolas_44	nicolas	TRAIN	5	speech_data/5_nicolas_44.wav
283	7_nicolas_31	nicolas	TRAIN	7	speech_data/7_nicolas_31.wav
284	9_lucas_21	lucas	TEST	9	speech_data/9_lucas_21.wav
285	8_george_35	george	TRAIN	8	speech_data/8_george_35.wav
286	2_jackson_45	jackson	TRAIN	2	speech_data/2_jackson_45.wav
287	7_lucas_23	lucas	DEV	7	speech_data/7_lucas_23.wav
288	6_nicolas_27	nicolas	TRAIN	6	speech_data/6_nicolas_27.wav
289	2_lucas_13	lucas	TEST	2	speech_data/2_lucas_13.wav
290	1_yweweler_11	yweweler	TEST	1	speech_data/1_yweweler_11.wav
291	5_theo_15	theo	TRAIN	5	speech_data/5_theo_15.wav
292	2_lucas_21	lucas	TEST	2	speech_data/2_lucas_21.wav
293	9_jackson_23	jackson	TRAIN	9	speech_data/9_jackson_23.wav
294	3_yweweler_3	yweweler	DEV	3	speech_data/3_yweweler_3.wav
295	2_lucas_9	lucas	DEV	2	speech_data/2_lucas_9.wav
296	3_theo_3	theo	TRAIN	3	speech_data/3_theo_3.wav
297	7_jackson_39	jackson	TRAIN	7	speech_data/7_jackson_39.wav
298	3_jackson_30	jackson	TRAIN	3	speech_data/3_jackson_30.wav
299	9_jackson_19	jackson	TRAIN	9	speech_data/9_jackson_19.wav
300	2_nicolas_1	nicolas	TRAIN	2	speech_data/2_nicolas_1.wav
301	7_lucas_42	lucas	TEST	7	speech_data/7_lucas_42.wav
302	3_george_7	george	TRAIN	3	speech_data/3_george_7.wav
303	2_george_2	george	TRAIN	2	speech_data/2_george_2.wav
304	4_nicolas_4	nicolas	TRAIN	4	speech_data/4_nicolas_4.wav
305	5_yweweler_42	yweweler	TEST	5	speech_data/5_yweweler_42.wav
306	7_yweweler_0	yweweler	TEST	7	speech_data/7_yweweler_0.wav
307	2_nicolas_10	nicolas	TRAIN	2	speech_data/2_nicolas_10.wav
308	3_jackson_40	jackson	TRAIN	3	speech_data/3_jackson_40.wav
309	0_jackson_16	jackson	TRAIN	0	speech_data/0_jackson_16.wav
310	8_yweweler_35	yweweler	DEV	8	speech_data/8_yweweler_35.wav
311	3_jackson_13	jackson	TRAIN	3	speech_data/3_jackson_13.wav
312	5_nicolas_2	nicolas	TRAIN	5	speech_data/5_nicolas_2.wav
313	1_yweweler_22	yweweler	DEV	1	speech_data/1_yweweler_22.wav
314	2_theo_4	theo	TRAIN	2	speech_data/2_theo_4.wav
315	7_theo_21	theo	TRAIN	7	speech_data/7_theo_21.wav
316	7_lucas_46	lucas	TEST	7	speech_data/7_lucas_46.wav
317	6_theo_24	theo	TRAIN	6	speech_data/6_theo_24.wav
318	4_theo_34	theo	TRAIN	4	speech_data/4_theo_34.wav
319	8_jackson_45	jackson	TRAIN	8	speech_data/8_jackson_45.wav
320	3_yweweler_27	yweweler	TEST	3	speech_data/3_yweweler_27.wav
321	7_jackson_12	jackson	TRAIN	7	speech_data/7_jackson_12.wav
322	3_yweweler_31	yweweler	DEV	3	speech_data/3_yweweler_31.wav
323	0_nicolas_3	nicolas	TRAIN	0	speech_data/0_nicolas_3.wav
324	8_nicolas_27	nicolas	TRAIN	8	speech_data/8_nicolas_27.wav
325	0_jackson_47	jackson	TRAIN	0	speech_data/0_jackson_47.wav
326	2_george_24	george	TRAIN	2	speech_data/2_george_24.wav
327	6_yweweler_33	yweweler	DEV	6	speech_data/6_yweweler_33.wav
328	9_jackson_17	jackson	TRAIN	9	speech_data/9_jackson_17.wav
329	6_lucas_5	lucas	DEV	6	speech_data/6_lucas_5.wav
330	3_lucas_31	lucas	TEST	3	speech_data/3_lucas_31.wav
331	1_theo_45	theo	TRAIN	1	speech_data/1_theo_45.wav
332	3_george_1	george	TRAIN	3	speech_data/3_george_1.wav
333	1_jackson_27	jackson	TRAIN	1	speech_data/1_jackson_27.wav
334	3_lucas_30	lucas	TEST	3	speech_data/3_lucas_30.wav
335	0_george_23	george	TRAIN	0	speech_data/0_george_23.wav
336	0_nicolas_32	nicolas	TRAIN	0	speech_data/0_nicolas_32.wav
337	6_theo_49	theo	TRAIN	6	speech_data/6_theo_49.wav
338	8_nicolas_28	nicolas	TRAIN	8	speech_data/8_nicolas_28.wav
339	1_george_35	george	TRAIN	1	speech_data/1_george_35.wav
340	3_theo_6	theo	TRAIN	3	speech_data/3_theo_6.wav
341	3_jackson_23	jackson	TRAIN	3	speech_data/3_jackson_23.wav
342	3_theo_38	theo	TRAIN	3	speech_data/3_theo_38.wav
343	5_nicolas_45	nicolas	TRAIN	5	speech_data/5_nicolas_45.wav
344	9_jackson_48	jackson	TRAIN	9	speech_data/9_jackson_48.wav
345	4_yweweler_9	yweweler	TEST	4	speech_data/4_yweweler_9.wav
346	8_yweweler_22	yweweler	TEST	8	speech_data/8_yweweler_22.wav
347	3_theo_0	theo	TRAIN	3	speech_data/3_theo_0.wav
348	0_yweweler_11	yweweler	TEST	0	speech_data/0_yweweler_11.wav
349	2_theo_1	theo	TRAIN	2	speech_data/2_theo_1.wav
350	9_nicolas_9	nicolas	TRAIN	9	speech_data/9_nicolas_9.wav
351	5_george_28	george	TRAIN	5	speech_data/5_george_28.wav
352	1_george_20	george	TRAIN	1	speech_data/1_george_20.wav
353	7_jackson_30	jackson	TRAIN	7	speech_data/7_jackson_30.wav
354	1_nicolas_16	nicolas	TRAIN	1	speech_data/1_nicolas_16.wav
355	9_yweweler_44	yweweler	DEV	9	speech_data/9_yweweler_44.wav
356	9_lucas_36	lucas	TEST	9	speech_data/9_lucas_36.wav
357	7_yweweler_31	yweweler	TEST	7	speech_data/7_yweweler_31.wav
358	4_lucas_37	lucas	TEST	4	speech_data/4_lucas_37.wav
359	6_nicolas_39	nicolas	TRAIN	6	speech_data/6_nicolas_39.wav
360	2_yweweler_34	yweweler	TEST	2	speech_data/2_yweweler_34.wav
361	6_theo_7	theo	TRAIN	6	speech_data/6_theo_7.wav
362	5_nicolas_10	nicolas	TRAIN	5	speech_data/5_nicolas_10.wav
363	8_nicolas_37	nicolas	TRAIN	8	speech_data/8_nicolas_37.wav
364	6_george_3	george	TRAIN	6	speech_data/6_george_3.wav
365	6_george_25	george	TRAIN	6	speech_data/6_george_25.wav
366	1_yweweler_34	yweweler	DEV	1	speech_data/1_yweweler_34.wav
367	9_george_13	george	TRAIN	9	speech_data/9_george_13.wav
368	4_nicolas_41	nicolas	TRAIN	4	speech_data/4_nicolas_41.wav
369	5_theo_13	theo	TRAIN	5	speech_data/5_theo_13.wav
370	0_theo_48	theo	TRAIN	0	speech_data/0_theo_48.wav
371	2_lucas_25	lucas	DEV	2	speech_data/2_lucas_25.wav
372	6_yweweler_1	yweweler	TEST	6	speech_data/6_yweweler_1.wav
373	4_jackson_34	jackson	TRAIN	4	speech_data/4_jackson_34.wav
374	9_george_9	george	TRAIN	9	speech_data/9_george_9.wav
375	3_theo_42	theo	TRAIN	3	speech_data/3_theo_42.wav
376	5_yweweler_0	yweweler	TEST	5	speech_data/5_yweweler_0.wav
377	7_jackson_2	jackson	TRAIN	7	speech_data/7_jackson_2.wav
